SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
29255,"70673","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Shuricopter",3,361,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/70673-1.jpg",832,389
29084,"70674","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Fire Fang",4,463,39.99,39.99,49.99,44.99,"https://images.brickset.com/sets/images/70674-1.jpg",1100,558
29254,"70675","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Katana 4X4",5,450,44.99,49.99,69.99,49.99,"https://images.brickset.com/sets/images/70675-1.jpg",504,411
29085,"70676","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Lloyd's Titan Mech",6,876,64.99,79.99,99.99,69.99,"https://images.brickset.com/sets/images/70676-1.jpg",1067,845
29086,"70677","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Land Bounty",9,1178,119.99,129.99,159.99,129.99,"https://images.brickset.com/sets/images/70677-1.jpg",567,635
29087,"70678","1","Ninjago","Secrets of the Forbidden Spinjitzu","2019","Castle of the Forsaken Emperor",7,1218,89.99,99.99,139.99,99.99,"https://images.brickset.com/sets/images/70678-1.jpg",578,718
28549,"70679","1","Ninjago","Legacy","2019","The Ultra Dragon",6,951,79.99,84.99,119.99,89.99,"https://images.brickset.com/sets/images/70679-1.jpg",698,800
28407,"70680","1","Ninjago","Legacy","2019","Monastery Training",2,122,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70680-1.jpg",1586,427
29257,"70681","1","Ninjago","Spinjitzu Slam","2019","Spinjitzu Slam - Lloyd",1,70,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70681-1.jpg",642,200
29258,"70682","1","Ninjago","Spinjitzu Slam","2019","Spinjitzu Slam - Jay",1,72,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70682-1.jpg",451,188
29259,"70683","1","Ninjago","Spinjitzu Slam","2019","Spinjitzu Slam - Zane",1,63,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/70683-1.jpg",546,215
29260,"70684","1","Ninjago","Spinjitzu Slam","2019","Spinjitzu Slam - Kai vs. Samurai",2,164,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/70684-1.jpg",525,217
29284,"111901","1","Ninjago","Magazine Gift","2019","Garmadon",1,,,,,,"https://images.brickset.com/sets/images/111901-1.jpg",320,94
29600,"111901","2","Ninjago","Magazine Gift","2019","Garmadon",1,,,,,,"https://images.brickset.com/sets/images/111901-2.jpg",154,73
29372,"111902","1","Ninjago","Magazine Gift","2019","Wu",1,,,,,,"https://images.brickset.com/sets/images/111902-1.jpg",224,89
29601,"111902","2","Ninjago","Magazine Gift","2019","Wu",1,,,,,,"https://images.brickset.com/sets/images/111902-2.jpg",147,66
29571,"111903","1","Ninjago","Magazine Gift","2019","Kai vs. Wyplash",2,,,,,,"https://images.brickset.com/sets/images/111903-1.jpg",152,79
29597,"111903","2","Ninjago","Magazine Gift","2019","Kai vs. Wyplash",2,,,,,,"https://images.brickset.com/sets/images/111903-2.jpg",160,56
29742,"111904","1","Ninjago","Magazine Gift","2019","Jay Vs. Lasha",2,,,,,,"https://images.brickset.com/sets/images/111904-1.jpg",151,53
29812,"111904","2","Ninjago","Magazine Gift","2019","Jay vs. Lasha",2,,,,,,"https://images.brickset.com/sets/images/111904-2.jpg",103,66
28905,"853866","1","Ninjago","March of the Oni","2019","Oni Battle Pack",3,36,11.99,12.99,16.99,12.99,"https://images.brickset.com/sets/images/853866-1.jpg",1124,602
28600,"853899","1","Ninjago","Sons of Garmadon","2019","Lloyd's Kendo Training Pod",1,25,7.99,8.99,11.49,8.99,"https://images.brickset.com/sets/images/853899-1.jpg",568,337
28963,"891945","1","Ninjago","Magazine Gift","2019","Young Wu",1,,,,,,"https://images.brickset.com/sets/images/NIN891945-1.jpg",614,177
29014,"891946","1","Ninjago","Magazine Gift","2019","Jay",1,,,,,,"https://images.brickset.com/sets/images/NIN891946-1.jpg",464,104
29231,"891947","1","Ninjago","Magazine Gift","2019","Heavy Metal",1,,,,,,"https://images.brickset.com/sets/images/891947-1.jpg",390,149
29214,"891948","1","Ninjago","Magazine Gift","2019","Iron Baron",1,,,,,,"https://images.brickset.com/sets/images/891948-1.jpg",561,116
29323,"891949","1","Ninjago","Magazine Gift","2019","Lloyd",1,,,,,,"https://images.brickset.com/sets/images/891949-1.jpg",367,86
29318,"891950","1","Ninjago","Magazine Gift","2019","Daddy No Legs",1,,,,,,"https://images.brickset.com/sets/images/891950-1.jpg",380,119
29360,"891951","1","Ninjago","Magazine Gift","2019","Nya",1,,,,,,"https://images.brickset.com/sets/images/891951-1.jpg",339,93
29548,"891952","1","Ninjago","Magazine Gift","2019","Blizzard Samurai",1,,,,,,"https://images.brickset.com/sets/images/891952-1.jpg",404,108
29547,"891953","1","Ninjago","Magazine Gift","2019","Cole",1,,,,,,"https://images.brickset.com/sets/images/891953-1.jpg",355,73
29602,"891954","1","Ninjago","Magazine Gift","2019","Pyro Whipper",1,,,,,,"https://images.brickset.com/sets/images/891954-1.jpg",372,106
29622,"891955","1","Ninjago","Magazine Gift","2019","Kai",1,,,,,,"https://images.brickset.com/sets/images/891955-1.jpg",273,56
29667,"891956","1","Ninjago","Magazine Gift","2019","Blizzard Samurai",1,,,,,,"https://images.brickset.com/sets/images/891956-1.jpg",242,100
29811,"891957","1","Ninjago","Magazine Gift","2019","Zane",1,,,,,,"https://images.brickset.com/sets/images/891957-1.jpg",228,73
29870,"891958","1","Ninjago","Magazine Gift","2019","Jay",1,,,,,,"https://images.brickset.com/sets/images/891958-1.jpg",247,54
29570,"11920","1","Star Wars","","2019","Parts for Star Wars: Build Your Own Adventure Galactic Missions",1,66,,,,,126,265
29136,"30383","1","Star Wars","Episode I","2019","Naboo Starfighter",,48,,,,,"https://images.brickset.com/sets/images/30383-1.jpg",2988,569
29164,"30384","1","Star Wars","Episode V","2019","Snowspeeder",,49,,,,,"https://images.brickset.com/sets/images/30384-1.jpg",3715,719
29134,"30461","1","Star Wars","Episode I","2019","Podracer",,58,,,,,"https://images.brickset.com/sets/images/30461-1.jpg",3070,766
29388,"30624","1","Star Wars","Episode IV","2019","Obi-Wan Kenobi - Collectable Minifigure",1,12,,,,,"https://images.brickset.com/sets/images/30624-1.jpg",4160,1288
29252,"40333","1","Star Wars","Promotional","2019","Battle of Hoth - 20th Anniversary Edition",,195,,,,,"https://images.brickset.com/sets/images/40333-1.jpg",5776,1371
29573,"40362","1","Star Wars","Promotional","2019","Battle of Endor",,197,,,,,"https://images.brickset.com/sets/images/40362-1.jpg",4056,1338
28413,"75223","1","Star Wars","MicroFighters","2019","Naboo Starfighter Microfighter",1,62,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/75223-1.jpg",3938,898
28464,"75224","1","Star Wars","MicroFighters","2019","Sith Infiltrator Microfighter",1,92,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/75224-1.jpg",4900,1061
28402,"75225","1","Star Wars","The Last Jedi","2019","Elite Praetorian Guard Battle Pack",5,109,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/75225-1.jpg",6785,1554
28406,"75226","1","Star Wars","Battlefront","2019","Inferno Squad Battle Pack",4,118,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/75226-1.jpg",6054,1585
29190,"75227","1","Star Wars","Promotional","2019","Darth Vader Bust",,327,,39.99,,,"https://images.brickset.com/sets/images/75227-1.jpg",1104,1927
28412,"75228","1","Star Wars","MicroFighters","2019","Escape Pod vs. Dewback Microfighters",3,177,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75228-1.jpg",5973,1873
28459,"75229","1","Star Wars","Episode IV","2019","Death Star Escape",4,329,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75229-1.jpg",5307,1844
28408,"75233","1","Star Wars","Episode III","2019","Droid Gunship",4,389,54.99,49.99,69.99,59.99,"https://images.brickset.com/sets/images/75233-1.jpg",2614,1800
28409,"75234","1","Star Wars","Episode III","2019","AT-AP Walker",5,689,64.99,59.99,79.99,69.99,"https://images.brickset.com/sets/images/75234-1.jpg",3035,1789
28403,"75235","1","Star Wars","4 Plus","2019","X-wing Starfighter Trench Run",3,132,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75235-1.jpg",1507,902
29053,"75236","1","Star Wars","The Force Awakens","2019","Duel on Starkiller Base",2,191,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75236-1.jpg",3645,1223
28411,"75237","1","Star Wars","4 Plus","2019","TIE Fighter Attack",2,77,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75237-1.jpg",2037,944
29055,"75238","1","Star Wars","Episode VI","2019","Action Battle Endor Assault",2,193,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75238-1.jpg",1636,807
29056,"75239","1","Star Wars","Episode V","2019","Hoth Generator Attack",2,235,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75239-1.jpg",1267,684
29051,"75240","1","Star Wars","Resistance","2019","Major Vonreg's TIE Fighter",4,496,64.99,69.99,89.99,69.99,"https://images.brickset.com/sets/images/75240-1.jpg",2924,1771
29054,"75241","1","Star Wars","Episode V","2019","Action Battle Echo Base Defence",6,504,54.99,59.99,79.99,59.99,"https://images.brickset.com/sets/images/75241-1.jpg",1257,795
29052,"75242","1","Star Wars","Resistance","2019","Black Ace TIE Interceptor",3,396,44.99,49.99,69.99,49.99,"https://images.brickset.com/sets/images/75242-1.jpg",2275,1302
29026,"75243","1","Star Wars","Episode V","2019","Slave I - 20th Anniversary Edition",6,1007,109.99,119.99,159.99,119.99,"https://images.brickset.com/sets/images/75243-1.jpg",6294,2837
29250,"75244","1","Star Wars","Episode IV","2019","Tantive IV",6,1768,179.99,199.99,269.99,199.99,"https://images.brickset.com/sets/images/75244-1.jpg",4420,3541
